model_key,model_label,n,beta,seed,train_m,holdout_k,holdout_protocol,holdout_pool,holdout_m,timesteps,steps,TV_score,BSHS,Composite,q_holdout,R_Q1000,R_Q10000,q_eval,eval_samples
d3pm_standard,D3PM (MLP),12,1.0,101,200,20,global_smart,400,5000,24,250,0.2880594859652046,0.7063344726494211,0.502868127538525,0.03524,0.49140658112609675,0.8994116078371608,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,102,200,20,global_smart,400,5000,24,250,0.2881403445111865,0.7225676923330207,0.5143667885315311,0.026649999999999997,0.49164856138284047,0.9368704675775146,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,103,200,20,global_smart,400,5000,24,250,0.2649844859652046,0.6805897726744148,0.5002440416091095,0.025359999999999997,0.4268694948945423,0.8172798958543828,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,104,200,20,global_smart,400,5000,24,250,0.27086448596520457,0.6553960448517944,0.47787253205938496,0.03003,0.38577301467676994,0.7736609253676096,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,105,200,20,global_smart,400,5000,24,250,0.2845894859652045,0.7012998411502618,0.5017172798498292,0.035109999999999995,0.4584280519281756,0.8633897303976775,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,106,200,20,global_smart,400,5000,24,250,0.2815853445111865,0.6918519768899651,0.4970365996266589,0.030129999999999997,0.5318524455753503,0.8515160193729576,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,107,200,20,global_smart,400,5000,24,250,0.2955844859652046,0.6890464608429577,0.4853750169085486,0.03198,0.4626778979968097,0.8846468567761081,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,108,200,20,global_smart,400,5000,24,250,0.28031948596520456,0.6931383737537611,0.498838181120349,0.027540000000000002,0.3924429615265609,0.8043619901707542,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,109,200,20,global_smart,400,5000,24,250,0.26747448596520457,0.6569099571080009,0.48120330400511385,0.03910000000000001,0.3899358556013456,0.8027111988870296,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,110,200,20,global_smart,400,5000,24,250,0.3084303445111865,0.6951248198625833,0.48072723219409036,0.02912,0.48764666660813794,0.8460138027525647,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,111,200,20,global_smart,400,5000,24,250,0.2872053445111865,0.7273520983120736,0.5184526883354201,0.023600000000000003,0.4723564132247259,0.9395899740785814,1000,100000
d3pm_standard,D3PM (MLP),12,1.0,112,200,20,global_smart,400,5000,24,250,0.2669344859652045,0.6681588038531134,0.4898041770034567,0.02302,0.4681628342051476,0.7885411302933181,1000,100000
