n,model_key,q_holdout,R_Q10000,seed
12,d3pm_standard,0.017910000000000002,0.9279473136218981,101
12,d3pm_standard,0.026029999999999994,0.8157137908500236,102
12,d3pm_standard,0.024810000000000002,0.8944912051856994,103
12,d3pm_standard,0.01972,0.925120441722161,104
12,d3pm_standard,0.02544,0.9082750631481333,105
12,d3pm_standard,0.018559999999999997,0.8283360073624249,106
12,d3pm_standard,0.020390000000000002,0.8452051213737782,107
12,d3pm_standard,0.015990000000000004,0.8483752383410529,108
12,d3pm_standard,0.02904,0.8671907094536822,109
12,d3pm_standard,0.02234,0.896157222439299,110
12,d3pm_standard,0.02141,0.889053850793039,111
12,d3pm_standard,0.01992,0.8546665731020251,112
