model_key,metric,mean,std
d3pm_standard,TV_score,0.2674928686058047,0.009736536119510527
d3pm_standard,BSHS,0.597901348765323,0.018212266030072893
d3pm_standard,Composite,0.43797107285307985,0.014683636339519112
d3pm_standard,q_holdout,0.003126388888888888,0.0012604203710605884
d3pm_standard,R_Q1000,0.11228871659991461,0.03528791597774415
d3pm_standard,R_Q10000,0.42311241530114313,0.09660145317962783
iqp_parity_mse,TV_score,0.18156373974413875,0.024271653430688725
iqp_parity_mse,BSHS,0.6837156744226348,0.019872708861896456
iqp_parity_mse,Composite,0.5596565230238232,0.025223930957457476
