sigma,K,qH_iqp,qH_ratio_iqp,Q80_iqp,qH_class,qH_ratio_class,Q80_class
0.5,128,0.04262181759468564,3.637061768079841,660.0,0.012299403082053241,1.0495490630018767,inf
0.5,256,0.03530599511201426,3.0127782495585502,1289.0,0.03619693366030305,3.0888050056791934,982.0
0.5,512,0.020714448813941577,1.7676329654563478,2298.0,0.029962430757107868,2.5567940912732046,1048.0
1.0,128,0.09280435070887423,7.919304593823934,310.0,0.05296497479778981,4.519677849411397,430.0
1.0,256,0.10026742962166238,8.556153994381857,312.0,0.051600507159438605,4.403243277605427,460.0
1.0,512,0.10875049390997502,9.280042146984535,431.0,0.05424561189006768,4.628958881285775,411.0
2.0,128,0.11093550554699977,9.46649647334398,283.0,0.052705317609215686,4.497520435986405,1204.0
2.0,256,0.12359804358953115,10.547033052973324,306.0,0.06597993811329693,5.630288052334671,495.0
2.0,512,0.11880900669064863,10.13836857093535,318.0,0.05935225221262019,5.06472552214359,376.0
3.0,128,0.12241248677607805,10.445865538225327,277.0,0.04631779044868419,3.952451451621051,1848.0
3.0,256,0.10044689271536651,8.571468178377943,289.0,0.06773553643392799,5.780099109028522,492.0
3.0,512,0.1133257144575898,9.670460967047662,282.0,0.06132254281321006,5.232856986727259,457.0
